n,x^2,time
20,400,0.0081916
21,441,0.009164099999999998
22,484,0.0094434
23,529,0.010174699999999998
24,576,0.011430300000000004
25,625,0.011888499999999996
26,676,0.012592700000000002
27,729,0.013874200000000003
28,784,0.014327499999999993
29,841,0.015240399999999998
30,900,0.01634030000000002
31,961,0.01795209999999998
32,1024,0.019342499999999995
33,1089,0.020117399999999997
34,1156,0.022032400000000018
35,1225,0.02194180000000001
36,1296,0.02406950000000001
37,1369,0.024492199999999985
38,1444,0.026378199999999997
39,1521,0.027660099999999986
40,1600,0.028563099999999998
41,1681,0.02942499999999999
42,1764,0.031137399999999982
43,1849,0.03363140000000007
44,1936,0.03466049999999994
45,2025,0.03571430000000007
46,2116,0.03651069999999992
47,2209,0.039311500000000076
48,2304,0.04078589999999993
49,2401,0.04207990000000006
50,2500,0.04341789999999994
51,2601,0.04520900000000001
52,2704,0.04829490000000005
53,2809,0.049633099999999965
54,2916,0.051337999999999974
55,3025,0.05337430000000012
56,3136,0.05496629999999989
57,3249,0.05556440000000009
58,3364,0.05892739999999996
59,3481,0.0623937999999999
60,3600,0.06414819999999999
61,3721,0.0634011000000001
62,3844,0.06478920000000006
63,3969,0.06769739999999995
64,4096,0.06802299999999999
65,4225,0.0751558000000001
66,4356,0.07290849999999978
67,4489,0.07671330000000012
68,4624,0.07822589999999999
69,4761,0.08008270000000017
70,4900,0.08213779999999993
71,5041,0.0859659999999998
72,5184,0.08870260000000023
73,5329,0.08916119999999986
74,5476,0.09131929999999996
75,5625,0.0948995
76,5776,0.09819929999999992
77,5929,0.10069070000000017
78,6084,0.10172570000000007
79,6241,0.10508699999999997
80,6400,0.10602909999999995
81,6561,0.11075739999999996
82,6724,0.11265600000000013
83,6889,0.11242279999999952
84,7056,0.1149952000000006
85,7225,0.11836139999999987
86,7396,0.12140219999999999
87,7569,0.12423590000000004
88,7744,0.12802969999999975
89,7921,0.13259720000000003
90,8100,0.14889500000000028
91,8281,0.15309179999999997
92,8464,0.1416806000000001
93,8649,0.15679499999999963
94,8836,0.1615321999999999
95,9025,0.14935280000000048
96,9216,0.15667009999999948
97,9409,0.1569890000000001
98,9604,0.16106920000000002
99,9801,0.16593370000000007
100,10000,0.16680899999999993
101,10201,0.1682468
102,10404,0.17318139999999999
103,10609,0.17568550000000016
104,10816,0.17831619999999973
105,11025,0.1812880000000007
106,11236,0.20716529999999977
107,11449,0.2085548000000003
108,11664,0.1952652999999998
109,11881,0.19490129999999936
110,12100,0.20257750000000102
111,12321,0.20925179999999982
112,12544,0.2135850999999988
113,12769,0.21435550000000064
114,12996,0.2187853000000004
115,13225,0.22379139999999892
116,13456,0.23415940000000007
117,13689,0.25351890000000027
118,13924,0.2517874000000006
119,14161,0.24820509999999985
120,14400,0.2520961
121,14641,0.25462109999999993
122,14884,0.2639435000000006
123,15129,0.2665668999999994
124,15376,0.2607461999999998
125,15625,0.2627446000000006
126,15876,0.2668672000000001
127,16129,0.2829302999999996
128,16384,0.2749307000000002
129,16641,0.2892894999999996
130,16900,0.2943258
131,17161,0.30610019999999877
132,17424,0.29083120000000234
133,17689,0.29326369999999996
134,17956,0.3033818999999994
135,18225,0.3029031000000003
136,18496,0.31969890000000023
137,18769,0.3212163000000004
138,19044,0.32393519999999965
139,19321,0.32805839999999764
140,19600,0.32074990000000125
141,19881,0.33257289999999956
142,20164,0.3447926999999993
143,20449,0.3465266000000014
144,20736,0.3357384999999994
145,21025,0.3395151999999996
146,21316,0.3453765000000004
147,21609,0.36069009999999935
148,21904,0.38320570000000204
149,22201,0.39471989999999835
150,22500,0.38606269999999937
151,22801,0.3850797
152,23104,0.38575750000000253
153,23409,0.3871807999999987
154,23716,0.39952849999999956
155,24025,0.40031470000000124
156,24336,0.4117810999999989
157,24649,0.4209282000000002
158,24964,0.4243147999999991
159,25281,0.42411580000000126
160,25600,0.43845159999999905
161,25921,0.43211390000000166
162,26244,0.4348707999999988
163,26569,0.44289330000000005
164,26896,0.44197169999999913
165,27225,0.4432108000000028
166,27556,0.4600877999999966
167,27889,0.46639949999999997
168,28224,0.4676693
169,28561,0.47793550000000096
170,28900,0.49741220000000225
171,29241,0.49046819999999797
172,29584,0.4866606999999988
173,29929,0.4992369999999994
174,30276,0.5045667000000037
175,30625,0.5235478999999998
176,30976,0.5088161000000013
177,31329,0.5253917999999999
178,31684,0.5289716999999996
179,32041,0.5344298999999978
180,32400,0.5381704000000014
181,32761,0.5358183999999995
182,33124,0.5442380000000014
183,33489,0.5516688999999986
184,33856,0.5604478999999969
185,34225,0.5850765000000024
186,34596,0.5924775000000011
187,34969,0.5881700999999964
188,35344,0.618477200000001
189,35721,0.6027970000000039
190,36100,0.6027340999999978
191,36481,0.589369499999998
192,36864,0.6088472000000025
193,37249,0.6508700999999973
194,37636,0.648066700000004
195,38025,0.6588136999999961
196,38416,0.6447324000000038
197,38809,0.6518107999999984
198,39204,0.6496067999999979
199,39601,0.7359751000000017
