iteration,time_1,time_2,time_3
0,0.0014885699999999998,0.0014860500000000343,0.0014843299999995451
1,0.00148158,0.0014681699999999865,0.0014763400000003912
2,0.00147671,0.0014998399999998923,0.0014719700000000557
3,0.0014886300000000003,0.0014933300000001281,0.0014723499999996649
4,0.0014838799999999997,0.0014922500000000127,0.0014797300000003587
5,0.0014941300000000002,0.0014880999999999744,0.001486009999999851
6,0.0014815100000000003,0.0014879600000000438,0.0015021600000000035
7,0.001482809999999999,0.0014811499999999001,0.0014836999999999988
8,0.001478680000000001,0.0014819099999999709,0.001478270000000066
9,0.0014907899999999997,0.001476340000000107,0.001477429999999913
10,0.0014824999999999999,0.0014885899999998742,0.0014766700000001264
11,0.0014822100000000016,0.0014914799999999674,0.0014849799999996094
12,0.0014866999999999986,0.0014887200000001143,0.001475300000000175
13,0.0014925700000000019,0.0014884899999998424,0.001477520000000254
14,0.0014813099999999978,0.001483870000000138,0.0014701900000000023
15,0.0014763899999999984,0.0014829800000001115,0.0014778599999999641
16,0.0014839500000000028,0.001478999999999928,0.0014851999999996224
17,0.001495409999999997,0.0014811699999998495,0.0014716500000002952
18,0.0014958500000000008,0.001492719999999963,0.00148604999999975
19,0.0014806600000000004,0.0015052800000000843,0.0014782300000001668
20,0.0014876900000000016,0.0014861700000000156,0.0014860900000002175
21,0.001479849999999998,0.0014839399999999614,0.0014853799999997364
22,0.001494080000000002,0.0014888200000001462,0.0014911499999999479
23,0.0014811799999999975,0.0014879999999999427,0.001479510000000346
24,0.0014869300000000018,0.0014822200000000408,0.001490479999999934
25,0.0014762299999999983,0.0014730299999999375,0.0014783299999999145
26,0.0014777900000000033,0.0014890800000000582,0.0014875399999999671
27,0.0014828599999999969,0.0014923099999998612,0.0014920899999998482
28,0.00148644,0.0014944200000002184,0.001482819999999947
29,0.0014794800000000042,0.0014758799999998473,0.0014762999999999237
30,0.001481539999999999,0.0014841899999998986,0.0014817500000003747
31,0.0014841999999999978,0.0014868900000001872,0.0014808999999996785
32,0.0014873400000000015,0.0014826700000000414,0.0014868300000000544
33,0.001493070000000003,0.0014815799999999513,0.0014867700000002059
34,0.0014822199999999963,0.0014791800000000421,0.001480770000000007
35,0.0014869799999999956,0.0014875999999998156,0.00148145999999997
36,0.0014862500000000002,0.0014811800000001085,0.0014752399999997578
37,0.001476430000000004,0.0014858599999999457,0.001476170000000252
38,0.0015012700000000033,0.0014741200000000275,0.0014815299999997934
39,0.0014785299999999957,0.0014861600000000408,0.001482520000000136
40,0.0014910200000000007,0.001480630000000076,0.00148145999999997
41,0.0014754399999999989,0.0014933899999999766,0.0014833199999998215
42,0.0014837800000000012,0.0014833699999999795,0.001482260000000224
43,0.001491769999999999,0.001492059999999924,0.001479089999999701
44,0.0014785800000000028,0.0014849399999999945,0.0014929800000004433
45,0.0015003299999999963,0.001478800000000149,0.0014803799999998546
46,0.0014779799999999987,0.0014830199999997262,0.0014749399999999468
47,0.0014735900000000068,0.0014813100000000646,0.0014814400000000205
48,0.0014862899999999969,0.0014752599999999915,0.0014875200000000178
49,0.0014868799999999992,0.0014757000000000175,0.001496490000000108
50,0.001488940000000003,0.0014762699999999996,0.0014821399999999584
51,0.001490499999999999,0.0014819400000001793,0.001492670000000089
52,0.001537739999999994,0.0014759999999998286,0.0014751899999998841
53,0.001493840000000004,0.0014887999999999124,0.001484879999999862
54,0.001487999999999996,0.001494470000000092,0.0014858700000002045
55,0.0014847699999999975,0.0014857599999999137,0.0014883800000001202
56,0.001486180000000008,0.0014850700000002348,0.0014863299999996115
57,0.001474820000000001,0.0014703099999999836,0.001482740000000149
58,0.0014956199999999953,0.0014793799999998213,0.001476910000000089
59,0.0014833800000000074,0.0014858800000001793,0.0014814499999999953
60,0.0014785200000000031,0.0014920399999999744,0.0014809999999999945
61,0.0014694899999999932,0.0014857200000000148,0.0014790599999997766
62,0.0014803799999999966,0.0014846499999998741,0.0014664300000004004
63,0.001489969999999996,0.0014840300000000183,0.0014742400000000088
64,0.0014880100000000062,0.0014773400000001402,0.0014824499999997443
65,0.0014759300000000053,0.0014920899999998482,0.00147166000000027
66,0.0014818299999999952,0.001483159999999941,0.0014738199999999324
67,0.0014912400000000048,0.0014849200000000451,0.0014719800000000305
68,0.0014741999999999854,0.0014778400000000148,0.0014763599999997722
69,0.00148022000000001,0.0014914000000001693,0.0014837299999999232
70,0.0014833600000000047,0.001479829999999822,0.001483570000000327
71,0.0014795900000000018,0.001488119999999924,0.001474839999999631
72,0.0014828499999999956,0.0015605800000000158,0.001492200000000139
