n,n^3,time
137,2571353,0.0678877
138,2628072,0.06876559999999757
139,2685619,0.06884380000000193
140,2744000,0.0714433999999983
141,2803221,0.07288520000000176
142,2863288,0.07245559999999784
143,2924207,0.07376340000000141
144,2985984,0.07572720000000004
145,3048625,0.07678740000000062
146,3112136,0.07562029999999993
147,3176523,0.07873069999999985
148,3241792,0.07910719999999856
149,3307949,0.08019869999999969
150,3375000,0.0811035000000004
151,3442951,0.08145939999999996
152,3511808,0.08302720000000079
153,3581577,0.08484880000000032
154,3652264,0.08299609999999973
155,3723875,0.08610319999999945
156,3796416,0.08572719999999948
157,3869893,0.08677650000000199
158,3944312,0.08773259999999823
159,4019679,0.09030830000000094
160,4096000,0.09137409999999875
161,4173281,0.09360929999999996
162,4251528,0.09503130000000226
163,4330747,0.09337280000000021
164,4410944,0.09677199999999857
165,4492125,0.09736870000000124
166,4574296,0.09834539999999947
167,4657463,0.09923900000000004
168,4741632,0.09992210000000057
169,4826809,0.09895909999999901
170,4913000,0.10152129999999886
171,5000211,0.1050263000000001
172,5088448,0.10450160000000039
173,5177717,0.10766000000000134
174,5268024,0.10737550000000055
175,5359375,0.10811809999999866
176,5451776,0.11031270000000007
177,5545233,0.1091351000000003
178,5639752,0.11220799999999827
179,5735339,0.11339660000000151
180,5832000,0.11430870000000085
181,5929741,0.11306679999999858
182,6028568,0.11573570000000188
183,6128487,0.11624279999999772
184,6229504,0.11926330000000007
185,6331625,0.11999200000000201
186,6434856,0.12454369999999812
187,6539203,0.12054540000000032
188,6644672,0.12175009999999986
189,6751269,0.1236311999999998
190,6859000,0.1262145000000004
191,6967871,0.12926730000000078
192,7077888,0.12844809999999995
193,7189057,0.1352170000000001
194,7301384,0.12896220000000086
195,7414875,0.1334545999999989
196,7529536,0.1334495000000004
197,7645373,0.13594070000000044
198,7762392,0.13588539999999796
199,7880599,0.13806780000000174
200,8000000,0.13893679999999903
