n,time
20,0.0021259399999999998
21,0.00212708
22,0.0023065299999999998
23,0.00225101
24,0.002679380000000001
25,0.0025996699999999984
26,0.0029242499999999993
27,0.0029017900000000017
28,0.0028347999999999997
29,0.003203420000000001
30,0.003095729999999999
31,0.0031967800000000015
32,0.003342699999999996
33,0.003567140000000002
34,0.0036759200000000014
35,0.0038839899999999973
36,0.0039933200000000025
37,0.00423597
38,0.004369120000000004
39,0.004553379999999993
40,0.004765240000000004
41,0.004895949999999995
42,0.005130129999999999
43,0.005421170000000011
44,0.00595485
45,0.006069279999999999
46,0.006285109999999996
47,0.0062825499999999935
48,0.006492839999999997
49,0.006783680000000007
50,0.007517560000000003
51,0.00890948999999999
52,0.00871651
53,0.00778061000000001
54,0.00787182999999999
55,0.00806362
56,0.008497580000000013
57,0.008786710000000007
58,0.008936969999999995
59,0.008750259999999984
60,0.009496850000000024
61,0.009942149999999969
62,0.010299720000000007
63,0.010606320000000018
64,0.011009320000000003
65,0.011540739999999978
66,0.01178218000000001
67,0.012093649999999982
68,0.012227820000000023
69,0.01252002000000001
70,0.012964440000000011
71,0.013038939999999997
72,0.01342842999999995
73,0.013826330000000055
74,0.014051939999999945
75,0.014705060000000002
76,0.014992270000000047
77,0.015310249999999996
78,0.01575643999999997
79,0.015946070000000034
80,0.01585259999999998
81,0.01662928000000001
82,0.017195040000000005
83,0.01753633999999998
84,0.01772545000000001
85,0.017867260000000017
86,0.01832922999999994
87,0.01928688000000001
88,0.019449850000000025
89,0.020046080000000046
90,0.020808899999999967
91,0.020545159999999923
92,0.02126127000000011
93,0.021111799999999903
94,0.022180780000000056
95,0.02274049000000005
96,0.02349457000000001
97,0.023381829999999867
98,0.023522180000000076
99,0.023881059999999933
