density,time
0.0,0.19811561
1.0,0.19435449999999999
0.5,0.19312933999999998
0.3333333333333333,0.19727261999999995
0.25,0.1963450300000001
0.2,0.19892602999999995
0.16666666666666666,0.19394937999999995
0.14285714285714285,0.19688263000000006
0.125,0.19841217
0.1111111111111111,0.19760867999999987
0.1,0.19977618000000008
0.09090909090909091,0.19374172000000014
0.08333333333333333,0.19148724999999986
0.07692307692307693,0.19830193000000007
0.07142857142857142,0.19211221000000023
0.06666666666666667,0.18989417999999944
0.0625,0.19162656000000028
0.058823529411764705,0.19383819000000016
0.05555555555555555,0.19214570999999978
0.05263157894736842,0.19405340000000024
0.05,0.1929812899999996
0.047619047619047616,0.19316687999999999
0.045454545454545456,0.19572099000000037
0.043478260869565216,0.19439579999999979
0.041666666666666664,0.19387227999999992
0.04,0.19776351000000034
0.038461538461538464,0.1954238300000003
0.037037037037037035,0.19532753999999955
0.03571428571428571,0.1981089499999996
0.034482758620689655,0.1961532800000009
