density,time
0.0,0.21435023
1.0,0.21544849
0.5,0.21462072000000007
0.3333333333333333,0.2156603899999999
0.25,0.2146293200000001
0.2,0.21235935999999994
0.16666666666666666,0.21404653999999992
0.14285714285714285,0.22842677000000008
0.125,0.29432118
0.1111111111111111,0.24511419999999987
0.1,0.23850719999999995
0.09090909090909091,0.25270492000000017
0.08333333333333333,0.21693618000000015
0.07692307692307693,0.2170413099999996
0.07142857142857142,0.2136728099999999
0.06666666666666667,0.2138711500000005
0.0625,0.21320480999999972
0.058823529411764705,0.2148761300000001
0.05555555555555555,0.2172107699999998
0.05263157894736842,0.21276245000000016
0.05,0.21509870999999975
0.047619047619047616,0.2116033600000003
0.045454545454545456,0.21679573000000005
0.043478260869565216,0.21630120000000033
0.041666666666666664,0.21772766999999932
0.04,0.21729355000000056
0.038461538461538464,0.21774352000000022
0.037037037037037035,0.2182029
0.03571428571428571,0.2164309999999989
0.034482758620689655,0.21922095000000014
